State;Region;Population
Acre;Norte;881935
Alagoas;Nordeste;3337357
Amapá;Norte;845731
Amazonas;Norte;4131057
Bahia;Nordeste;14873064
Ceará;Nordeste;9132078
Distrito Federal;Centro-oeste;3015268
Espírito Santo;Sudeste;4018650
Goiás;Centro-oeste;7018354
Maranhão;Nordeste;7075181
Mato Grosso;Centro-oeste;3484466
Mato Grosso do Sul;Centro-oeste;2778986
Minas Gerais;Sudeste;21168791
Pará;Norte;8602865
Paraíba;Nordeste;4018127
Paraná;Sul;11433957
Pernambuco;Nordeste;9557071
Piauí;Nordeste;3273227
Rio de Janeiro;Sudeste;17264943
Rio Grande do Norte;Nordeste;3506853
Rio Grande do Sul;Sul;11377239
Rondônia;Norte;1777225
Roraima;Norte;605761
Santa Catarina;Sul;7164788
São Paulo;Sudeste;45919049
Sergipe;Nordeste;2298696
Tocantins;Norte;1572866
