ano;cidade;estado;regiao
2006;0.4079488350845135;0.33187772925764175;0.08860759493670921
2007;0.38300509571684344;0.3783487388375372;0.28784773060029284
2008;0.335511790161618;0.33036256836135325;0.24006846230069387
2009;0.35700151856794443;0.3952700100146368;0.40814274943453127
2010;0.3552943452812848;0.43477125321029025;0.4152110231094716
2011;0.36799916801996757;0.4773043571352103;0.4985641605426796
2012;0.3809771195680011;0.487557881570182;0.5571106424230632
2013;0.3808565528567108;0.49093019576948527;0.5307354935241033
2014;0.3795961756410146;0.5008136551949576;0.5373302552542543
2015;0.3714225528463395;0.499379483941132;0.5624382757321955
2016;0.35788750527611524;0.4883525645122208;0.5557337324106493
2017;0.3535403944716454;0.4811066097780902;0.5457551919727123
2018;0.3541338774166354;0.4836837324118816;0.5498899362813745
2019;0.3532046507231307;0.4828076157999432;0.5495751902848427
