ano;nós;arestas;conexo;componentes;densidade;avg_degree_ies;avg_degree_startup;avg_clustering;avg_clustering_ies;avg_clustering_startup
2006;47;36;False;11;0.06521739130434782;1.9166666666666667;2.0;0.4412044072948328;0.5450355489417987;0.33285886818495514
2007;83;64;False;19;0.037296037296037296;1.7954545454545454;2.0256410256410255;0.4285461460353886;0.5211726963512677;0.3240443969610637
2008;126;114;False;18;0.0287515762925599;2.0615384615384613;2.19672131147541;0.3774835065561354;0.427366173813976;0.32432984472401055
2009;165;157;False;20;0.02313586796345417;2.3461538461538463;2.103448275862069;0.4103730267090573;0.4134911148562169;0.4075774994047072
2010;248;245;False;28;0.016060308095706327;2.504424778761062;2.096296296296296;0.37299560077495353;0.3519284804623867;0.39062956074028676
2011;359;378;False;32;0.012129380053908356;3.0952380952380953;2.1462264150943398;0.35085171496916623;0.2801388544259804;0.3998837456288281
2012;510;564;False;41;0.009424976186895272;3.73224043715847;2.08868501529052;0.3623924782191154;0.25184049214810295;0.4242610208827098
2013;658;794;False;46;0.00839749555799983;4.523584905660377;2.1502242152466366;0.3531166812337141;0.2270201028094044;0.4130549651484084
2014;828;1059;False;45;0.0075042517006802725;5.275;2.1530612244897958;0.35579381360290957;0.18510248415261704;0.4254637439907841
2015;1031;1351;False;51;0.0065134173504710294;5.861313868613139;2.1215323645970936;0.3526907459534931;0.14388086877817752;0.4282705429759976
2016;1262;1748;False;54;0.005948977647090854;6.691558441558442;2.160377358490566;0.34254313800879815;0.11847164815737077;0.4148848768706843
2017;1475;2153;False;50;0.005637601466352448;7.641791044776119;2.245614035087719;0.3382993897626508;0.10108602794545611;0.40800682503349356
2018;1580;2354;False;49;0.005548079030665274;8.16326530612245;2.263540824575586;0.3355441721241315;0.09315937334876745;0.40275353831649247
2019;1582;2359;False;49;0.005550888636326201;8.180758017492712;2.264729620661824;0.335443869916418;0.09309510778702196;0.40253477016692896
